Data;Hora;UmidadeRelativa;PressaoAtmosferica;TemperaturaDoAr;TemperaturaInterna;PontoDeOrvalho;SensacaoTermica;RadiacaoSolar;DirecaoDoVento;VelocidadeDoVento;Precipitacao;Local
30/06/12;23:45:34;65.3;928.4000000000001;17.1;19.1;10.700000000000001;;0;111;2.5;0;Camilopolis
30/06/12;23:31:34;65.10000000000001;928.4000000000001;17.2;19.400000000000002;10.600000000000001;;0;39;2.9000000000000004;0;Camilopolis
30/06/12;23:15:34;68.60000000000001;928.4000000000001;16.900000000000002;19.700000000000003;11.100000000000001;;0;22;1.8;0;Camilopolis
30/06/12;23:01:34;67.5;928.4000000000001;17.1;20;11.100000000000001;;0;29;2.9000000000000004;0;Camilopolis
30/06/12;22:45:34;66.5;928.5;17.6;20.3;11.3;;0;24;2.9000000000000004;0;Camilopolis
30/06/12;22:31:34;59;928.4000000000001;18.7;20.5;10.5;;0;106;3.2;0;Camilopolis
30/06/12;22:15:34;57.1;928.3000000000001;19;20.6;10.3;;0;146;3.2;0;Camilopolis
30/06/12;22:01:34;55.1;928.3000000000001;19.3;20.700000000000003;10;;0;159;3.6;0;Camilopolis
30/06/12;21:45:34;56;928.3000000000001;19.200000000000003;20.8;10.200000000000001;;0;158;2.9000000000000004;0;Camilopolis
30/06/12;21:31:33;57.1;928.2;19.200000000000003;20.900000000000002;10.5;;0;112;5;0;Camilopolis
30/06/12;21:15:33;53.7;928.1;19.8;20.900000000000002;10;;0;115;5.4;0;Camilopolis
30/06/12;21:01:34;55.400000000000006;928.1;19.3;21;10.100000000000001;;0;109;4;0;Camilopolis
30/06/12;20:45:34;54.6;928;19.6;21.3;10.100000000000001;;0;111;3.2;0;Camilopolis
30/06/12;20:31:33;52.400000000000006;927.9000000000001;19.3;21.5;9.3;;0;241;1.4000000000000001;0;Camilopolis
30/06/12;20:15:33;52.1;927.8000000000001;19.6;22;9.3;;0;260;1.8;0;Camilopolis
30/06/12;20:01:34;49.6;927.7;19.900000000000002;22.3;9.1;;0;295;1.1;0;Camilopolis
30/06/12;19:45:34;46.800000000000004;927.4000000000001;20.5;22.6;8.8;;0;257;1.8;0;Camilopolis
30/06/12;19:31:33;46.2;927.4000000000001;20.8;22.8;8.8;;0;295;4.7;0;Camilopolis
