Data;Hora;UmidadeRelativa;PressaoAtmosferica;TemperaturaDoAr;TemperaturaInterna;PontoDeOrvalho;SensacaoTermica;RadiacaoSolar;DirecaoDoVento;VelocidadeDoVento;Precipitacao;Local
30/06/19;23:45:02;66.9;931.9000000000001;18.8;22.5;13.3;;0;331;0.7000000000000001;0;RM
30/06/19;23:30:02;65.8;931.9000000000001;18.900000000000002;22.700000000000003;13.3;;0;337;1.8;0;RM
30/06/19;23:15:02;65.4;931.9000000000001;19;22.900000000000002;13.200000000000001;;0;160;0;0;RM
30/06/19;23:00:02;62.5;931.9000000000001;19.3;23.1;12.8;;0;284;1.8;0;RM
30/06/19;22:45:02;62.5;932.1;19.200000000000003;23.3;12.8;;0;311;0.7000000000000001;0;RM
30/06/19;22:30:02;62.2;932;19.400000000000002;23.5;12.9;;0;327;1.1;0;RM
30/06/19;22:15:02;61.1;932.1;19.700000000000003;23.8;12.9;;0;353;0;0;RM
30/06/19;22:00:02;60;932;19.900000000000002;24.1;12.8;;0;269;1.1;0;RM
30/06/19;21:45:02;59.7;931.9000000000001;20.200000000000003;24.400000000000002;13.200000000000001;;0;264;2.2;0;RM
30/06/19;21:30:02;56.800000000000004;931.9000000000001;20.6;24.700000000000003;12.600000000000001;;0;296;1.4000000000000001;0;RM
30/06/19;21:15:02;56.5;931.9000000000001;20.5;25.200000000000003;12.5;;0;352;2.2;0;RM
30/06/19;21:00:02;55.300000000000004;932;20.8;25.6;12.4;;0;163;0;0;RM
30/06/19;20:45:02;51.5;931.9000000000001;21.8;26;12.200000000000001;;0;316;1.1;0;RM
30/06/19;20:30:02;47.900000000000006;931.9000000000001;22.6;26.200000000000003;11.8;;0;270;2.2;0;RM
30/06/19;20:15:03;47;931.8000000000001;22.900000000000002;26.400000000000002;11.8;;0;296;4.7;0;RM
30/06/19;20:00:03;46.2;931.7;23.1;26.6;11.700000000000001;;0;283;3.2;0;RM
30/06/19;19:45:02;46.1;931.7;23.1;26.8;11.700000000000001;;0;278;7.2;0;RM
30/06/19;19:30:02;45.6;931.5;23.3;27;11.8;;0;297;4.3;0;RM
30/06/19;19:15:02;44.7;931.4000000000001;23.6;27.3;11.700000000000001;;0;330;4.3;0;RM
30/06/19;19:00:02;43.7;931.2;23.900000000000002;27.400000000000002;11.700000000000001;;0;242;4.3;0;RM
30/06/19;18:45:02;42.800000000000004;931.1;24.200000000000003;27.6;11.600000000000001;;0;259;3.6;0;RM
30/06/19;18:30:02;42.2;931;24.3;27.900000000000002;11.5;;0;288;9;0;RM
30/06/19;18:15:02;42.800000000000004;931;24.200000000000003;28.200000000000003;11.700000000000001;;0;305;2.9000000000000004;0;RM
30/06/19;18:00:02;41.900000000000006;930.9000000000001;24.6;28.5;11.700000000000001;;0;254;4;0;RM
30/06/19;17:45:02;41.2;930.8000000000001;24.900000000000002;28.8;11.700000000000001;;0;247;4;0;RM
30/06/19;17:30:02;40.2;930.8000000000001;25.1;29.1;11.600000000000001;;3;235;10.4;0;RM
30/06/19;17:15:03;39.800000000000004;930.7;25.3;29.5;11.700000000000001;;11;232;15.100000000000001;0;RM
30/06/19;17:00:03;40.2;930.6;25.6;29.700000000000003;11.8;;47;249;6.5;0;RM
