Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83781;01/01/2010;0000;;24.3;;0;4.3;21.12;90.5;1.8;
83781;01/01/2010;1200;3.4;;18.9;;;;;;
83781;02/01/2010;0000;;29.6;;0.6;1;22.78;88.75;1.2;
83781;02/01/2010;1200;10.2;;19.1;;;;;;
83781;03/01/2010;0000;;31.4;;2.2;1.7;24.6;80.75;3.133333;
83781;03/01/2010;1200;30.4;;20.5;;;;;;
83781;04/01/2010;0000;;33;;6.8;3.1;25.06;83.25;2.766667;
83781;04/01/2010;1200;0;;20.1;;;;;;
83781;05/01/2010;0000;;31.9;;3.7;3.5;23.54;83;1.133333;
83781;05/01/2010;1200;14.3;;19.5;;;;;;
83781;06/01/2010;0000;;30.2;;2.6;4;23.52;74.5;2.3;
83781;06/01/2010;1200;51.7;;19.6;;;;;;
83781;07/01/2010;0000;;28.7;;1.9;3.5;23.86;80.25;2.5;
83781;07/01/2010;1200;7.5;;21.1;;;;;;
83781;08/01/2010;0000;;28.5;;1;2.6;23.58;91;2.133333;
83781;08/01/2010;1200;0.6;;21.1;;;;;;
83781;09/01/2010;0000;;31.4;;8.2;1.2;24.82;82;1.466667;
83781;09/01/2010;1200;29.4;;20.1;;;;;;
83781;10/01/2010;0000;;32.5;;5.9;4.8;26.72;66.25;3.033333;
83781;10/01/2010;1200;0;;22.2;;;;;;
83781;11/01/2010;0000;;31.5;;7.4;5.6;23.28;78;2.4;
83781;11/01/2010;1200;0.4;;18.7;;;;;;
83781;12/01/2010;0000;;31.7;;8.7;4.9;24.54;71.75;2.133333;
83781;12/01/2010;1200;29.4;;18.5;;;;;;
83781;13/01/2010;0000;;31.5;;10.8;6.7;26.5;58.5;2.866667;
83781;13/01/2010;1200;2.3;;22.2;;;;;;
83781;14/01/2010;0000;;27.3;;0;7;23.52;80;2.8;
83781;14/01/2010;1200;0;;21.7;;;;;;
83781;15/01/2010;0000;;24.4;;0.2;2.5;20.98;74;3.933333;
83781;15/01/2010;1200;6.3;;19.7;;;;;;
83781;16/01/2010;0000;;28.2;;2.2;3.3;22.62;84;1.733333;
83781;16/01/2010;1200;0;;18.9;;;;;;
83781;17/01/2010;0000;;29.1;;1.6;2.1;24.06;74.75;2.933333;
83781;17/01/2010;1200;22.8;;19.9;;;;;;
83781;18/01/2010;0000;;30.2;;6.3;3.3;24.22;72;4.1;
83781;18/01/2010;1200;12.4;;19.9;;;;;;
83781;19/01/2010;0000;;30.8;;5;3.6;23.34;76.5;3.2;
83781;19/01/2010;1200;24;;19.7;;;;;;
83781;20/01/2010;0000;;31.1;;7.9;4.5;25.34;63.25;3.233333;
83781;20/01/2010;1200;19.9;;20.1;;;;;;
83781;21/01/2010;0000;;28.8;;1.4;5.1;22.54;82.75;2.533333;
83781;21/01/2010;1200;44;;19.9;;;;;;
83781;22/01/2010;0000;;23.9;;0;2.8;21.76;80.75;3.166667;
83781;22/01/2010;1200;9.2;;19.9;;;;;;
83781;23/01/2010;0000;;26.7;;2.5;2.2;22.6;85;1.533333;
83781;23/01/2010;1200;1;;19.7;;;;;;
83781;24/01/2010;0000;;27.9;;3.9;1.7;22.18;89.5;1.533333;
83781;24/01/2010;1200;19.6;;18.4;;;;;;
83781;25/01/2010;0000;;27.1;;4.1;1.4;22.06;90.5;1.7;
83781;25/01/2010;1200;17.8;;18.7;;;;;;
